['Ponedjeljak, 5.9.2022.', 'Oz']
['Utorak, 6.9.2022.', 'broj sluzbe: 191', 'vozni red: PRIČUVA', '03:52, PTD', '10:35, PTD, ']
['Srijeda, 7.9.2022.', 'broj sluzbe: 42', 'vozni red: PRIČUVA', '04:23, PTD', '11:16, PTD, ']
['Cetvrtak, 8.9.2022.', 'broj sluzbe: 47', 'vozni red: PRIČUVA', '04:38, PTD', '11:03, PTD, ']
['Petak, 9.9.2022.', 'broj sluzbe: 71', 'vozni red: PRIČUVA', '04:02, PTD', '11:00, PTD, ']
['Subota, 10.9.2022.', 'broj sluzbe: 90', 'vozni red: PRIČUVA', '04:01, PTD', '10:51, PTD, ']
['Nedjelja, 11.9.2022.', 'broj sluzbe: 170', 'vozni red: PRIČUVA', '05:03, PTD', '11:57, PTD, ']
['Ponedjeljak, 12.9.2022.', 'Oz']
['Utorak, 13.9.2022.', 'broj sluzbe: 76', 'vozni red: PRIČUVA', '04:28, PTD', '11:17, PTD, ']
['Srijeda, 14.9.2022.', 'broj sluzbe: 76', 'vozni red: PRIČUVA', '04:28, PTD', '11:17, PTD, ']
['Cetvrtak, 15.9.2022.', 'broj sluzbe: 75', 'vozni red: PRIČUVA', '05:54, PTD', '12:51, PTD, ']
['Petak, 16.9.2022.', 'broj sluzbe: 44', 'vozni red: PRIČUVA', '04:17, PTD', '10:33, PTD, ']
['Subota, 17.9.2022.', 'broj sluzbe: 186', 'vozni red: PRIČUVA', '04:06, PTD', '10:54, PTD, ']
['Nedjelja, 18.9.2022.', 'broj sluzbe: 40', 'vozni red: PRIČUVA', '04:56, PTD', '11:54, PTD, ']
